"""Customer Provided Item"" cannot be Purchase Item also","""آیتم مورد اشاره مشتری""      \nنمیتواند خریداری شود",
"""Customer Provided Item"" cannot have Valuation Rate","""ایتم مورد نظر مشتری"" \nاعتبار کافی ندارد",
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item",&quot;آیا دارایی ثابت&quot; نمی تواند بدون کنترل، به عنوان رکورد دارایی در برابر مورد موجود است,
'Based On' and 'Group By' can not be same,"""بر اساس"" و ""گروه شده توسط"" نمی توانند همسان باشند",
'Days Since Last Order' must be greater than or equal to zero,"""روز پس از آخرین سفارش"" باید بزرگتر یا مساوی صفر باشد",
'Entries' cannot be empty,&#39;مطالب&#39; نمی تواند خالی باشد,
'From Date' is required,&#39;از تاریخ&#39; مورد نیاز است,
'From Date' must be after 'To Date',"""از تاریخ"" باید پس از ""تا تاریخ"" باشد",
'Has Serial No' can not be 'Yes' for non-stock item,"""دارای شماره سریال""  برای موارد غیر انباری نمی تواند ""بله"" باشد",
'Opening',&#39;افتتاح&#39;,
'To Case No.' cannot be less than 'From Case No.',مقدار'تا مورد شماره' نمی تواند کمتر از 'ازمورد شماره' باشد,
'To Date' is required,'تا تاریخ' مورد نیاز است,
'Total',&#39;جمع&#39;,
'Update Stock' can not be checked because items are not delivered via {0},'به روز رسانی موجودی'نمی تواند انتخاب شود ، زیرا موارد از طریق تحویل نمی {0},
'Update Stock' cannot be checked for fixed asset sale,"""به روز رسانی انبار می تواند برای فروش دارایی ثابت شود چک",
1 exact match.,1 مسابقه دقیق,
90-Above,90-بالاتر از,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,یک گروه مشتری با نام مشابهی وجود دارد. لطا نام مشتری را تغییر دهید یا نام گروه مشتری را اصلاح نمایید.,
A Default Service Level Agreement already exists.,توافق نامه سطح سرویس پیش فرض از قبل وجود دارد.,
A Lead requires either a person's name or an organization's name,یک سرب یا نام یک شخص یا نام یک سازمان نیاز دارد,
A customer with the same name already exists,یک مشتری با همین نام قبلا وجود دارد,
A question must have more than one options,یک سوال باید بیش از یک گزینه داشته باشد,
A qustion must have at least one correct options,یک کلاهبرداری حداقل باید یک گزینه صحیح داشته باشد,
A4,A4,
API Endpoint,نقطه پایانی API,
API Key,کلید API,
Abbr can not be blank or space,مخفف نمیتواند خالی یا space باشد,
Abbreviation already used for another company,مخفف در حال حاضر برای یک شرکت دیگر مورد استفاده قرار گرفته است,
