"""Customer Provided Item"" cannot be Purchase Item also",&quot;פריט המסופק על ידי הלקוח&quot; לא יכול להיות גם פריט רכישה,
"""Customer Provided Item"" cannot have Valuation Rate",ל&quot;פריט המסופק על ידי הלקוח &quot;לא יכול להיות שיעור הערכה,
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","&quot;האם רכוש קבוע&quot; לא יכול להיות מסומן, כמו שיא נכסים קיים כנגד הפריט",
'Based On' and 'Group By' can not be same,'מבוסס על-Based On' ו-'מקובץ על ידי-Group By' אינם יכולים להיות זהים.,
'Days Since Last Order' must be greater than or equal to zero,מספר הימים מההזמנה האחרונה 'חייב להיות גדול או שווה לאפס,
'Entries' cannot be empty,הרשומות' לא יכולות להיות ריקות',
'From Date' is required,"""מתאריך"" נדרש",
'From Date' must be after 'To Date',"""מתאריך"" חייב להיות לאחר 'עד תאריך'",
'Has Serial No' can not be 'Yes' for non-stock item,"""יש מספר סידורי 'לא יכול להיות' כן 'ללא מוחזק במלאי פריט",
'Opening',&quot;פתיחה&quot;,
'To Case No.' cannot be less than 'From Case No.',"""למקרה מס ' לא יכול להיות פחות מ 'מתיק מס' '",
'To Date' is required,'עד תאריך' נדרש,
'Total',&#39;סה&quot;כ&#39;,
'Update Stock' can not be checked because items are not delivered via {0},"לא ניתן לבדוק את &quot;מלאי עדכון &#39;, כי פריטים אינם מועברים באמצעות {0}",
'Update Stock' cannot be checked for fixed asset sale,&#39;עדכון מאגר&#39; לא ניתן לבדוק למכירת נכס קבועה,
1 exact match.,התאמה מדויקת אחת.,
90-Above,90-מעל,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,"קבוצת לקוחות קיימת עם אותו שם, בבקשה לשנות את שם הלקוח או לשנות את שם קבוצת הלקוחות",
A Default Service Level Agreement already exists.,כבר קיים הסכם ברירת מחדל לשירות.,
A Lead requires either a person's name or an organization's name,מוביל דורש שם של אדם או שם של ארגון,
A customer with the same name already exists,לקוח עם אותו שם כבר קיים,
A question must have more than one options,לשאלה חייבות להיות יותר מאפשרויות אחת,
A qustion must have at least one correct options,לשאלה יש לפחות אפשרות אחת נכונה,
A4,A4,
API Endpoint,נקודת סיום API,
API Key,מפתח API,
Abbr can not be blank or space,Abbr לא יכול להיות ריק או חלל,
Abbreviation already used for another company,קיצור כבר בשימוש עבור חברה אחרת,
Abbreviation cannot have more than 5 characters,קיצור לא יכול להיות יותר מ 5 תווים,
Abbreviation is mandatory,הקיצור הוא חובה,
About the Company,על החברה,
About your company,על החברה שלך,
Above,מעל,
Academic Term,מונח אקדמי,
Academic Term: ,מונח אקדמי:,
Academic Year,שנה אקדמית,
Academic Year: ,שנה אקדמית:,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},+ מקובל שנדחו הכמות חייבת להיות שווה לכמות שהתקבל עבור פריט {0},
Access Token,גישת אסימון,
Accessable Value,ערך נגיש,
Account,חשבון,
Account Number,מספר חשבון,
Account Number {0} already used in account {1},מספר החשבון {0} כבר בשימוש בחשבון {1},
Account Pay Only,חשבון משלם רק,
Account Type,סוג החשבון,
