"""Customer Provided Item"" cannot be Purchase Item also",&quot;Item Fornecido pelo Cliente&quot; não pode ser Item de Compra também,
"""Customer Provided Item"" cannot have Valuation Rate",&quot;Item Fornecido pelo Cliente&quot; não pode ter Taxa de Avaliação,
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""É Ativo Fixo"" não pode ser desmarcado se já existe um registro de Ativo relacionado ao item",
'Based On' and 'Group By' can not be same,'Baseado em' e 'Agrupar por' não podem ser o mesmo,
'Days Since Last Order' must be greater than or equal to zero,'Dias desde a última Ordem' deve ser maior ou igual a zero,
'Entries' cannot be empty,'Entradas' não pode estar vazio,
'From Date' is required,'Informe a 'Data Inicial',
'From Date' must be after 'To Date',A 'Data Final' deve ser posterior a 'Data Inicial',
'Has Serial No' can not be 'Yes' for non-stock item,'Tem Número Serial' não pode ser confirmado para itens sem controle de estoque,
'Opening','Abrindo',
'To Case No.' cannot be less than 'From Case No.','Número do Caso Final' não pode ser menor que o 'Número do Caso Inicial',
'To Date' is required,'Data Final' é necessária,
'Total',';Total';,
'Update Stock' can not be checked because items are not delivered via {0},'Atualização do Estoque' não pode ser verificado porque os itens não são entregues via {0},
'Update Stock' cannot be checked for fixed asset sale,'Atualizar Estoque' não pode ser selecionado para venda de ativo fixo,
1 exact match.,1 correspondência exata.,
90-Above,Acima de 90,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,Existe um grupo de clientes com o mesmo nome por favor modifique o nome do cliente ou renomeie o grupo de clientes,
A Default Service Level Agreement already exists.,Um contrato de nível de serviço padrão já existe.,
A Lead requires either a person's name or an organization's name,Um Lead requer o nome de uma pessoa ou o nome de uma organização,
A customer with the same name already exists,Um cliente com o mesmo nome já existe,
A question must have more than one options,Uma pergunta deve ter mais de uma opção,
A qustion must have at least one correct options,Uma questão deve ter pelo menos uma opção correta,
A4,A4,
API Endpoint,API Endpoint,
API Key,Chave da API,
Abbr can not be blank or space,Abbr não pode estar em branco ou espaço,
Abbreviation already used for another company,Abreviatura já utilizado para outra empresa,
Abbreviation cannot have more than 5 characters,Abreviatura não pode ter mais de 5 caracteres,
Abbreviation is mandatory,Abreviatura é obrigatória,
About the Company,Sobre a Empresa,
About your company,Sobre a sua empresa,
Above,Acima,
Academic Term,Período Letivo,
Academic Term: ,Período Acadêmico:,
Academic Year,Ano Letivo,
Academic Year: ,Ano Acadêmico:,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},A qtde Aceita + Rejeitada deve ser igual a quantidade recebida para o item {0},
Access Token,Token de Acesso,
Accessable Value,Valor Acessível,
Account,Conta,
Account Number,Número da Conta,
Account Number {0} already used in account {1},Número de conta {0} já utilizado na conta {1},
Account Pay Only,Só Conta de Pagamento,
Account Type,Tipo de Conta,
Account Type for {0} must be {1},O Tipo de Conta para {0} deverá ser {1},
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","O saldo já está em crédito, você não tem a permissão para definir 'saldo deve ser' como 'débito'",
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","O saldo já está em débito, você não tem permissão para definir 'saldo deve ser' como 'crédito'",
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,O número da conta da conta {0} não está disponível. <br> Configure seu Plano de Contas corretamente.,
